anime_id,name,genre,type,episodes,rating
32281,Kimi no Na wa.,"['Drama', ' Romance', ' School', ' Supernatural']",Movie,1,9.37
5114,Fullmetal Alchemist: Brotherhood,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']",Movie,1,9.10
28977,Gintama,"['Drama', ' School', ' Shounen']",Movie,1,9.05
9253,SteinsGate,"['Adventure', ' Drama', ' Supernatural']",Movie,1,8.93
9969,Gintama,"['Fantasy', ' Slice of Life']",Movie,1,8.84
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"['Action', ' Adventure', ' Fantasy']",Movie,1,8.81
11061,Hunter x Hunter (2011),"['Comedy', ' Mystery', ' Romance', ' School', ' Sci-Fi', ' Supernatural']",Movie,1,8.81
820,Ginga Eiyuu Densetsu,"['Adventure', ' Fantasy', ' Historical', ' Mystery', ' Seinen', ' Slice of Life', ' Supernatural']",Movie,1,8.75
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"['Adventure', ' Drama', ' Fantasy', ' Romance']",Movie,1,8.74
15417,Gintama: Enchousen,"['Action', ' Mystery', ' Supernatural', ' Vampire']",Movie,1,8.73
4181,Clannad: After Story,"['Action', ' Drama', ' Mystery', ' Romance', ' Supernatural', ' Thriller']",Movie,1,8.68
28851,Koe no Katachi,"['Action', ' Mecha', ' Sci-Fi', ' Space', ' Super Power']",Movie,1,8.64
918,Gintama,"['Sci-Fi', ' Thriller']",Movie,1,8.61
2904,Code Geass: Hangyaku no Lelouch R2,"['Drama', ' Romance', ' Shoujo', ' Supernatural']",Movie,1,8.61
28891,Haikyuu!! Second Season,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']",Movie,2,8.60
199,Sen to Chihiro no Kamikakushi,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']",Movie,1,8.59
23273,Shigatsu wa Kimi no Uso,"['Adventure', ' Supernatural']",Movie,1,8.58
24701,Mushishi Zoku Shou 2nd Season,"['Drama', ' Historical']",Movie,1,8.58
12355,Ookami Kodomo no Ame to Yuki,"['Action', ' Mystery', ' Romance', ' Supernatural', ' Thriller']",Movie,1,8.57
1575,Code Geass: Hangyaku no Lelouch,"['Military', ' School']",Movie,1,8.55
263,Hajime no Ippo,"['Romance', ' School', ' Shounen Ai', ' Slice of Life']",Movie,1,8.53
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Action', ' Mecha', ' Sci-Fi']",Movie,1,8.53
1,Cowboy Bebop,"['Drama', ' Magic', ' Psychological', ' Thriller']",Movie,1,8.50
30276,One Punch Man,"['Drama', ' Magic', ' Psychological', ' Thriller']",Movie,1,8.49
164,Mononoke Hime,"['Adventure', ' Comedy', ' Supernatural']",Movie,1,8.48
7311,Suzumiya Haruhi no Shoushitsu,"['Adventure', ' Fantasy']",Movie,1,8.47
17074,Monogatari Series: Second Season,"['Mystery', ' Supernatural', ' Vampire']",Movie,1,8.45
21939,Mushishi Zoku Shou,"['Dementia', ' Drama', ' Mecha', ' Psychological', ' Sci-Fi']",Movie,1,8.45
457,Mushishi,"['Adventure', ' Drama', ' Romance', ' Sci-Fi']",Movie,1,8.44
2001,Tengen Toppa Gurren Lagann,"['Action', ' Adventure', ' Historical', ' Samurai']",Movie,1,8.43
245,Great Teacher Onizuka,"['Adventure', ' Mystery', ' Police', ' Shounen']",Movie,1,8.42
32983,Natsume Yuujinchou Go,"['Action', ' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Shounen']",Movie,1,8.42
5258,Hajime no Ippo: New Challenger,"['Action', ' Drama', ' Mystery', ' Sci-Fi', ' Space']",Movie,1,8.40
28957,Mushishi Zoku Shou: Suzu no Shizuku,"['Action', ' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Shounen']",Movie,1,8.39
11665,Natsume Yuujinchou Shi,"['Action', ' Mystery', ' Police', ' Shounen']",Movie,1,8.38
431,Howl no Ugoku Shiro,"['Adventure', ' Fantasy', ' Romance', ' Sci-Fi']",Movie,1,8.38
11741,Fate/Zero 2nd Season,"['Fantasy', ' Historical']",Movie,1,8.37
31757,Kizumonogatari II: Nekketsu-hen,"['Drama', ' Psychological', ' Romance', ' Slice of Life']",Movie,1,8.35
19,Monster,"['Fantasy', ' Slice of Life', ' Supernatural']",Movie,1,8.35
12365,Bakuman. 3rd Season,"['Drama', ' Mystery', ' Psychological']",Movie,1,8.35
1535,Death Note,"['Action', ' Mecha', ' Police', ' Psychological', ' Sci-Fi', ' Seinen']",Movie,1,8.34
32366,Gintama°: Aizome Kaori-hen,"['Comedy', ' Music', ' Slice of Life']",Movie,1,8.34
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"['Action', ' Comedy', ' Drama', ' Magic', ' Super Power']",Movie,1,8.34
20583,Haikyuu!!,"['Action', ' Adventure', ' Drama', ' Fantasy', ' Historical', ' Romance']",Movie,1,8.34
19647,Hajime no Ippo: Rising,"['Action', ' Adventure', ' Demons', ' Drama', ' Fantasy', ' Horror', ' Military', ' Seinen', ' Supernatural']",Movie,1,8.33
4282,Kara no Kyoukai 5: Mujun Rasen,"['Action', ' Cars', ' Sci-Fi', ' Sports']",Movie,1,8.33
10379,Natsume Yuujinchou San,"['Action', ' Mystery', ' Police', ' Shounen']",Movie,1,8.32
22135,Ping Pong The Animation,"['Drama', ' Romance', ' School']",Movie,1,8.32
21329,Mushishi Special: Hihamukage,"['Adventure', ' Drama', ' Fantasy', ' Romance', ' Slice of Life']",Movie,1,8.32
31043,Boku dake ga Inai Machi,"['Action', ' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Shounen']",Movie,1,8.32
7785,Yojouhan Shinwa Taikei,"['Comedy', ' Drama']",Movie,1,8.32
3297,Aria The Origination,"['Drama', ' Magic', ' Psychological', ' Thriller']",Movie,1,8.31
30709,Kamisama Hajimemashita: Kako-hen,"['Comedy', ' Sci-Fi']",Movie,1,8.30
6114,Rainbow: Nisha Rokubou no Shichinin,"['Action', ' Mystery', ' Police', ' Shounen']",Movie,1,8.29
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"['Comedy', ' Drama', ' Fantasy', ' Magic', ' Romance', ' Shoujo']",Movie,1,8.28
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"['Adventure', ' Comedy', ' Drama', ' Fantasy', ' Magic', ' Romance']",Movie,1,8.27
5300,Zoku Natsume Yuujinchou,"['Sci-Fi', ' Slice of Life']",Movie,1,8.26
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Adventure', ' Comedy', ' Mystery', ' Police', ' Shounen']",Movie,1,8.25
